,Title,Link,Snippet
24,"[BOOK][B] Digital signal processing: mathematical and computational methods, software development and applications",https://arrow.tudublin.ie/cgi/viewcontent.cgi?article=1002&context=engschelebk,"… This book provides an account of the mathematical background, computational methods 
and software engineering associated with digital signal processing. The aim has been to …"
25,Software components using symbolic computation for problem solving environments,https://dl.acm.org/doi/pdf/10.1145/281508.281542,"… PSEware has developed particular software components for … computation components, and 
use that experience in a design for a generic \mathematics server"" for existing computational …"
26,[BOOK][B] Software engineering with Ada,https://books.google.com/books?hl=en&lr=&id=iPZGJRW9bKgC&oi=fnd&pg=PR10&dq=Software+Engineering+in+computation&ots=Dv0LJoUxJd&sig=ipNibCaAoVKGCAJyT7c_Zvu8JP0,"… Ideally, we want to collect logically related computational resources in one physical module, 
thus leading us to a module that is cohesively strong. Furthermore, localization implies that …"
27,Computing curricula 2005: The overview report,https://dl.acm.org/doi/abs/10.1145/1124706.1121482,"… guidelines for undergraduate programs in computing. Previous curriculum reports … , computer 
engineering, and software engineering into a single report about computing education. The …"
28,Difference computation of large models,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=9857&context=sis_research,"… software engineering … The computation of a difference between large models is a big 
challenge; current algorithms are too inefficient here. We present a new technique for computing …"
29,First-principles computation of material properties: the ABINIT software project,https://www.academia.edu/download/60830567/First-principles_computation_of_material_1_20191007-30129-ijrnxv.pdf,"… The density functional theory (DFT) computation of … DFT software project can benefit 
enormously from widespread collaboration, if handled properly. Also, modern software engineering …"
30,[PDF][PDF] Software for numerical computation,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1153&context=cstech,"… software and thus it is natural to attempt to separate software research from numerical 
computation … We want to define numerical computation rather precisely so as to distinguish it from …"
31,A survey on deep learning for software engineering,https://arxiv.org/pdf/2011.14597,"… graphics processing units significantly reduced the computation time of DL-based algo… 
software engineering (SE) tasks, including requirements, software design and modeling, software …"
32,A software engineering framework for context-aware pervasive computing,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=286c57dd231dcac718f556f76ece89db7571d380,"… a software engineering framework that addresses these challenges: the first by simplifying 
design and implementation tasks associated with context-aware software, and … into a software …"
33,[BOOK][B] Numerical methods in software and analysis,https://books.google.com/books?hl=en&lr=&id=4JrOBQAAQBAJ&oi=fnd&pg=PP1&dq=Software+Engineering+in+computation&ots=XOB2Z4hwEX&sig=r92hlzTFTjPkhZKISH2dO8ch0iA,"… methods and ideas of numerical computation. Part III contains very relevant, but somewhat 
independent, material about software engineering and performance evaluation. There is …"
34,"Verification, validation, and predictive capability in computational engineering and physics",https://www.osti.gov/servlets/purl/918370-mb55XB/,"… to all fields of computational engineering and physics, eg, computational fluid dynamics, … 
working on computational physics codes do not like to be thought of as software engineers. A …"
35,[BOOK][B] Histories of computing,https://books.google.com/books?hl=en&lr=&id=bKlJEAAAQBAJ&oi=fnd&pg=PP1&dq=Software+Engineering+in+computation&ots=RuGCsI06cR&sig=Z-nffW1Kp1t6tapjCahxcKYxhtw,"… the history of computing, in contrast to work in other areas of science studies and the history 
of technology.7 The papers he wrote on the history of software and software engineering are …"
36,"[CITATION][C] Software Engineering, 9/E",https://unidel.edu.ng/focelibrary/books/Software-Engineering-9th-Edition-by-Ian-Sommerville-2009.pdf,
37,[PDF][PDF] Cleanroom software engineering,https://trace.tennessee.edu/cgi/viewcontent.cgi?article=1017&context=utk_harlan,"… This basis requires a software specification and a probability distribution on scenarios of 
the software's use; it then defines a testing procedure and a prescribed computation from test …"
38,Search-based software test data generation using evolutionary computation,https://arxiv.org/pdf/1103.0125,"… Search-based Software Engineering has been utilized for a number of software engineering 
activities. One area where Search-Based Software Engineering has seen much application …"
39,Agent-based software engineering,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=606b072c6ca0f03cbaa3757f5897748b3921d466,"… component of agent-based computing. The concept was artic… Hopefully, this computational 
model corresponds to our own … from a more mainstream computing discipline have adopted …"
40,Preliminary guidelines for empirical research in software engineering,https://www.st.cs.uni-saarland.de/edu/recommendation-systems/papers/1082.pdf,"… Hoaglin is a statistician who has long been interested in software and computing. He 
reviewed eight papers published in Transactions on Software Engineering in the last few years. …"
41,Computer as thinker/doer: Problem-solving environments for computational science,https://ieeexplore.ieee.org/abstract/document/326669/,"… By their nature, PSEs are complicated and massive software systems. Their construction 
requires software engineering techniques such as modularization, decomposability, and informa…"
42,The software model checker Blast Applications to software engineering,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f8fda3205824f9cbf96fda9c3b9465e9ced86022,"… We use the path to q to compute a test vector that covers the location q wrt p using a procedure 
described below. We add this vector to the test suite, and remove q from the worklist. In …"
43,There is no software,https://journals.uvic.ca/index.php/ctheory/article/download/14655/5522,"… The crazy kind of software engineering that was writing … This is what we actually do when 
we compute up a model of the … structures of computation, and very far from Turing machines.…"
44,Organizational social structures for software engineering,https://www.academia.edu/download/31309150/acm_csur_oss.pdf,"… First, software engineering focused on building software using … be further explored for software 
development: social networks. … -aware software engineering, that is, to engineer software …"
45,[BOOK][B] Automated theorem proving in software engineering,https://books.google.com/books?hl=en&lr=&id=GQdJCAAAQBAJ&oi=fnd&pg=PA1&dq=Software+Engineering+in+computation&ots=gJa7Le38le&sig=gbs_UMlgqj596p-9iRP-lWermdQ,"… We explore the rising demands on software engineering and conclude that within many 
phases of the software life-cycle tasks arise which require the use of formal methods (Chapter 2). …"
46,An architecture for distributing the computation of software clustering algorithms,https://www.cs.drexel.edu/~bmitchell/pubs/wicsa2001.pdf,"… Java, from the Drexel University Software Engineering Group's (SERG) web page at: http://serg.mcs.drexel.edu. 
In addition to downloading a copy of our software, the SERG web page …"
47,Property-based software engineering measurement,ftp://banach.ing-mat.udec.cl/pub/ing-mat/asignaturas/520135/laboratorios/mediciones-software.pdf,"… software artifacts to which these concepts are applied. Such a mathematical framework 
could generate a consensus in the software engineering … the means to compute the size of a …"
48,A survey of the practice of computational science,https://oar.princeton.edu/bitstream/88435/pr12j96/1/SurveyComputationalScience.pdf,"… While covering the correctness and software engineering aspects of computational science, 
the survey presented in this paper also addressed the need for computational performance, …"
49,[PDF][PDF] Evolutionary computing in search-based software engineering,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8ad936e1116aaaf49bc511a396ce384e3182a404,"… This Chapter represents briefly the overall structure of this document, research objectives, 
and the background concepts related to this research: software engineering, computational …"
50,Requirement emergence computation of networked software,https://journal.hep.com.cn/fcs/EN/article/downloadArticleFile.do?attachType=PDF&id=6415,"… argue that the software and software engineering should be … software network view for the 
software engineering in complex systems is proposed. The description of networked software …"
51,[PDF][PDF] Enhancing theory of computation teaching through integration with other courses,https://www.academia.edu/download/77824371/ijrte0102137140.pdf,"… engineering, microprocessors, software engineering. 3. The students were motivated to study 
… Active learning of the students through software tools so that they should have” hands on “…"
52,Teaching cloud computing: a software engineering perspective,https://www.sciencedirect.com/science/article/pii/S0164121213000198,"… computing in a software engineering course. It suggests that all courses should have some 
material introducing students to cloud computing… in cloud software engineering covering map-…"
53,A survey of the use of crowdsourcing in software engineering,https://discovery.ucl.ac.uk/id/eprint/1515855/1/JSS-ke.pdf,"… in software engineering and corresponding case studies. We further analyse the software 
engineering … involved in realising Crowdsourced Software Engineering solutions. We conclude …"
54,Genericity in evolutionary computation software tools: Principles and case-study,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2ebb0d46e2c08192d29236086d086323d66d6961,"… deals with the need for generic software development tools in evolutionary computations (EC). … 
EC software tool development includes many issues. From the software engineering point …"
